"country","mean","se","l","u","age"
"Fiji",0.0241347144995769,0.0236048400618059,0.00417664650697562,0.0876007002143364,"18-19"
"Finland",0.00396294608594609,0.00266897078352718,0.000640010134442345,0.0105296475576213,"18-19"
"France",0.00552343661346671,0.00407943885383776,0.000952061612302128,0.0153941859891266,"18-19"
"French Polynesia",0.0446078815443993,0.039058382455794,0.00729771396968863,0.145264432861574,"18-19"
"Gabon",0.0103117252786679,0.0117121446517907,0.0012533220815156,0.0359901536060672,"18-19"
"Gambia",0.00900757256956107,0.0077866535011604,0.00157778410552267,0.0291430722179589,"18-19"
"Georgia",0.017454134201357,0.0142803953828038,0.00381170485279589,0.0554847576087868,"18-19"
"Germany",0.00371967851874327,0.00277181537634417,0.000517118107831605,0.0102786531142949,"18-19"
"Ghana",0.00452487945163301,0.00360437592872917,0.000651687798583406,0.0140127640501961,"18-19"
"Greece",0.00534740101656313,0.00392408720091821,0.00082741320087346,0.0152651965338499,"18-19"
"Greenland",0.00333420295178512,0.00244751842428178,0.000411767259656656,0.00956589723356171,"18-19"
"Grenada",0.00802500364199899,0.00741871447994235,0.00111119832747584,0.0265976942629655,"18-19"
"Guatemala",0.00824007719818697,0.00691152379758321,0.00129360666795458,0.0274274396410411,"18-19"
"Guinea",0.00496104931305651,0.0037062458506456,0.00074251811733643,0.0138345343568874,"18-19"
"Guinea Bissau",0.00575755777919026,0.00459465128822431,0.0008812242499378,0.0173087942949981,"18-19"
"Guyana",0.00845972103899709,0.0074208378427753,0.00118427468588225,0.0276603302167889,"18-19"
"Haiti",0.00751535112886078,0.00630469321380654,0.0011579880691627,0.0238165573212116,"18-19"
"Honduras",0.00749448357853258,0.00641173653327537,0.00114169583801979,0.0227830604267657,"18-19"
"Hungary",0.00757586013627889,0.0063587447138369,0.00122497201943081,0.0233424152983789,"18-19"
"Iceland",0.00586231334217386,0.00470370788397774,0.000821689746543465,0.017494500590153,"18-19"
"India",0.00853366180493188,0.00588313795222469,0.00209607763419494,0.0235244715267239,"18-19"
"Indonesia",0.00563167112552167,0.00419565048138539,0.00100291813766073,0.0156750602834115,"18-19"
"Iran",0.0118899640538673,0.00818702814842413,0.00339915551479261,0.0336935123752075,"18-19"
"Iraq",0.0276315232439012,0.0226350306442526,0.00572491511506279,0.0882142574137032,"18-19"
"Ireland",0.00532455599189524,0.00372336871468466,0.000913424555900428,0.0147090523090429,"18-19"
"Israel",0.00497245609329583,0.00406577981636902,0.000663302454466722,0.0145949650376145,"18-19"
"Italy",0.00479414852218999,0.00321895516914783,0.000783403751025634,0.013443103927095,"18-19"
"Jamaica",0.00868690128774639,0.00712068970392825,0.00148750461649136,0.0262547516347607,"18-19"
"Japan",0.00628268500284303,0.00384015285763668,0.00155723361844714,0.0160404520994687,"18-19"
"Jordan",0.0247316664771856,0.0186684343211104,0.00567989708540396,0.0743240812743834,"18-19"
"Kazakhstan",0.0145131357256312,0.0118177051733628,0.00304467817141986,0.0454840083550435,"18-19"
"Kenya",0.00386519095349226,0.00291408587376052,0.000458709627011423,0.0113123100000247,"18-19"
"Kiribati",0.0453550887249503,0.0418304620282705,0.00718516066923363,0.158840732506048,"18-19"
"Kuwait",0.034024149383109,0.0275329794564731,0.0070096139101547,0.104164877100797,"18-19"
"Kyrgyzstan",0.00978262535636699,0.00751883473669867,0.00205464393491254,0.0298613673120361,"18-19"
"Lao PDR",0.00617011804181597,0.00431093884203704,0.00113466088613375,0.0173592877927471,"18-19"
"Latvia",0.00646991764368184,0.00571007106248138,0.00083625737896048,0.0209444783283147,"18-19"
"Lebanon",0.0194097339762077,0.0150127784815622,0.00451104587582601,0.0591993137925331,"18-19"
"Lesotho",0.00576692550879281,0.00492535491963656,0.000799234556205889,0.0175613316706526,"18-19"
"Liberia",0.00638930768982973,0.00508300976267088,0.00114266623774743,0.018911494914239,"18-19"
"Libya",0.0207602196545696,0.0161963491749402,0.00499919684185181,0.062503362362793,"18-19"
"Lithuania",0.00821047301218927,0.00702127948643947,0.00124322822940895,0.0268524958872934,"18-19"
"Luxembourg",0.00496505837166813,0.0036389830175784,0.000719315750338004,0.0145168234166594,"18-19"
"Macedonia (TFYR)",0.00596978948285619,0.00485114888866823,0.000906955681860507,0.0177061205049844,"18-19"
"Madagascar",0.00439252938141822,0.00352985386588487,0.000574060804342546,0.0125293263365451,"18-19"
"Malawi",0.00485114366773478,0.00362782166865222,0.000703347531482507,0.0144289545938107,"18-19"
"Malaysia",0.0121778182293788,0.00917374474025008,0.00291105078310023,0.0361197434570022,"18-19"
"Maldives",0.0118324633125691,0.0107296345138971,0.00195744104013157,0.0383636031641481,"18-19"
"Mali",0.00736808903482493,0.00616410116445361,0.00113771218150196,0.0228319865560035,"18-19"
"Malta",0.00782903554798903,0.00634097735741275,0.00127951902099801,0.0234624799748523,"18-19"
"Marshall Islands",0.0386479918059684,0.0356535099630417,0.00652647819134405,0.132386399667136,"18-19"
"Mauritania",0.00729306993705408,0.00565285802969508,0.00117331870260562,0.0221222972699488,"18-19"
"Mauritius",0.0148576502340552,0.0117159371409421,0.003366879706533,0.0439487003906664,"18-19"
